"numID","posiSelf","posiOther","dEvSelf","dEvOther","aEvSelf","aEvOther","alphaPrec","genLR","repLR","wp0","wAttr","mem","LL","LP","AIC","BIC","eaS1neg","eaS1pos","eaSneg","eaSneu","eaSpos","eaO1neg","eaO1pos","eaOneg","eaOneu","eaOpos","midS1neg","midS1pos","midSneg","midSneu","midSpos","midO1neg","midO1pos","midOneg","midOneu","midOpos","ltS1neg","ltS1pos","ltSneg","ltSneu","ltSpos","ltO1neg","ltO1pos","ltOneg","ltOneu","ltOpos"
2023071014465075.000000,2.063517,-1.583527,2.750000,2.750000,0.693147,0.693147,-1.750000,-2.197225,-2.000000,3.800000,7.750000,6.910000,-264.435375,-259.000779,542.870749,551.531827,4.904762,5.238095,NaN,4.666667,6.000000,3.761905,2.857143,NaN,NaN,NaN,5.194444,5.000000,NaN,3.777778,5.888889,2.166667,3.250000,NaN,NaN,NaN,5.380952,5.428571,NaN,2.857143,4.523810,1.952381,4.095238,NaN,NaN,NaN
2023071014465139.000000,1.514501,2.017401,3.125000,3.125000,0.693147,0.693147,-2.000000,-2.197225,-5.000000,4.400000,9.500000,6.910000,-274.526207,-269.361612,563.052414,571.713491,4.666667,4.238095,NaN,5.238095,NaN,5.047619,4.380952,NaN,3.714286,NaN,4.500000,4.555556,NaN,4.972222,NaN,2.833333,5.444444,NaN,4.583333,NaN,2.952381,5.333333,NaN,4.857143,NaN,1.666667,4.619048,NaN,2.809524,NaN
20230710144716160.000000,-4.105862,-4.616448,-4.000000,-4.000000,0.693147,0.693147,-0.875000,-2.197225,8.000000,-1.600000,29.625000,6.910000,-243.557839,-238.994971,501.115679,509.776756,1.857143,5.428571,NaN,5.047619,4.952381,3.238095,4.238095,NaN,NaN,NaN,2.111111,5.694444,NaN,2.861111,5.416667,1.083333,6.000000,NaN,NaN,NaN,1.000000,5.666667,NaN,2.666667,5.380952,1.000000,5.571429,NaN,NaN,NaN
20230710144735792.000000,1.439217,1.744119,4.000000,4.000000,0.693147,0.693147,-0.312500,-2.197225,0.000000,2.675000,22.625000,6.910000,-227.564078,-223.921380,469.128155,477.789232,4.142857,3.904762,NaN,4.428571,NaN,5.095238,4.333333,NaN,NaN,5.238095,3.027778,3.888889,NaN,4.666667,NaN,4.861111,3.694444,NaN,NaN,5.305556,3.000000,3.809524,NaN,4.809524,NaN,3.095238,4.190476,NaN,NaN,5.619048
20230710144747968.000000,0.445990,0.445990,3.000000,3.000000,0.693147,0.693147,-0.750000,-2.197225,-4.000000,3.500000,6.000000,6.910000,-205.584758,-200.201919,425.169516,433.830594,4.761905,5.142857,NaN,NaN,5.047619,3.285714,5.666667,NaN,NaN,4.285714,4.250000,5.888889,NaN,NaN,5.083333,2.888889,5.805556,NaN,NaN,4.944444,4.190476,4.952381,NaN,NaN,5.523810,2.857143,6.000000,NaN,NaN,4.761905
20230710144800864.000000,0.412531,1.406433,2.500000,2.500000,0.693147,0.693147,-0.500000,-2.197225,-5.500000,-1.000000,4.250000,6.910000,-225.732889,-220.121457,465.465777,474.126854,3.809524,2.714286,NaN,3.476190,5.190476,5.000000,3.428571,NaN,NaN,NaN,2.444444,3.416667,NaN,4.027778,4.833333,2.833333,4.194444,NaN,NaN,NaN,2.095238,2.809524,NaN,2.809524,5.238095,1.380952,4.761905,NaN,NaN,NaN
20230710144803116.000000,1.948911,1.477085,2.750000,2.750000,0.693147,0.693147,-1.000000,-2.197225,5.750000,0.575000,7.750000,6.910000,-249.988106,-244.521200,513.976212,522.637289,5.285714,2.000000,NaN,5.000000,NaN,2.857143,3.714286,NaN,5.190476,NaN,4.000000,4.500000,NaN,4.611111,NaN,1.361111,2.611111,NaN,5.305556,NaN,2.000000,4.619048,NaN,4.904762,NaN,2.000000,3.428571,NaN,5.000000,NaN
20230710144806472.000000,-3.000093,0.799972,3.500000,3.500000,0.693147,0.693147,-1.000000,-2.197225,0.750000,-0.725000,6.000000,6.910000,-254.636080,-249.543207,523.272160,531.933237,3.238095,4.619048,NaN,3.000000,NaN,4.285714,3.952381,NaN,3.523810,NaN,2.444444,4.861111,NaN,2.916667,NaN,3.333333,3.944444,NaN,3.583333,NaN,1.714286,4.380952,NaN,3.809524,NaN,3.142857,4.047619,NaN,3.714286,NaN
20230710144836704.000000,-1.267063,0.149851,-5.750000,-5.750000,0.693147,0.693147,0.000000,-2.197225,-5.750000,0.800000,6.000000,6.910000,-173.812338,-168.124460,361.624675,370.285753,2.333333,3.380952,NaN,3.952381,NaN,2.904762,5.000000,NaN,NaN,4.380952,1.027778,4.055556,NaN,3.055556,NaN,1.111111,5.861111,NaN,NaN,4.805556,1.000000,5.285714,NaN,3.285714,NaN,1.142857,6.000000,NaN,NaN,5.761905
20230710144904880.000000,-1.000000,0.440312,2.750000,2.750000,0.693147,0.693147,-1.000000,-2.197225,-2.500000,2.375000,6.000000,6.910000,-249.165817,-243.641099,512.331635,520.992712,3.809524,5.142857,NaN,NaN,3.904762,4.285714,4.047619,NaN,NaN,4.761905,1.388889,4.638889,NaN,NaN,4.166667,3.805556,4.194444,NaN,NaN,3.638889,2.666667,4.000000,NaN,NaN,4.809524,3.142857,4.666667,NaN,NaN,4.095238
20230710144919216.000000,1.853594,0.475599,4.000000,4.000000,0.693147,0.693147,-0.312500,-2.197225,0.500000,-2.150000,16.500000,6.910000,-229.573994,-225.615131,473.147987,481.809065,3.142857,3.000000,NaN,NaN,NaN,4.380952,3.809524,NaN,3.714286,3.952381,3.361111,3.750000,NaN,NaN,NaN,3.305556,4.000000,NaN,4.027778,4.138889,2.904762,3.380952,NaN,NaN,NaN,3.000000,3.809524,NaN,4.142857,3.047619
20230710144944904.000000,-0.374371,1.251258,4.000000,4.000000,0.693147,0.693147,-1.250000,-2.197225,-2.000000,-1.750000,13.000000,6.910000,-264.173220,-260.067142,542.346440,551.007517,3.285714,3.904762,NaN,NaN,3.666667,4.142857,3.904762,NaN,3.428571,NaN,3.472222,3.416667,NaN,NaN,2.750000,3.666667,4.222222,NaN,3.805556,NaN,2.619048,4.428571,NaN,NaN,4.047619,2.476190,4.809524,NaN,4.000000,NaN
